vin,latitude,longitude,updated_at,total_fuel_used,started,speed,place,kilometrage_start_of_day,kilometrage,fuel_level,city,battery_voltage,direction
WAUKG78E46A840649,52.9551166,9.6381433,12/10/2021 0:43,0,0,0,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.58,0,Walsrode,12.43,317
WAUKG78E46A840649,52.9551166,9.6381433,12/10/2021 1:43,0,0,0,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.58,0,Walsrode,12.43,317
WAUKG78E46A840649,52.9551166,9.6381433,12/10/2021 2:43,0,0,0,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.58,0,Walsrode,12.41,317
WAUKG78E46A840649,52.9551166,9.6381433,12/10/2021 3:43,0,0,0,,96215,96215.58,0,,12.41,317
WAUKG78E46A840649,52.95537,9.63806,12/10/2021 3:50,0,0,11,,96215,96215.61,0,,14.69,355
WAUKG78E46A840649,52.955425,9.6374233,12/10/2021 3:51,0,1,9,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.67,0,Walsrode,14.81,181
WAUKG78E46A840649,52.9553666,9.6374266,12/10/2021 4:51,0,0,0,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.74,0,Walsrode,12.44,332
WAUKG78E46A840649,52.9553666,9.6374266,12/10/2021 5:51,0,0,0,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.74,0,Walsrode,12.45,332
WAUKG78E46A840649,52.95513,9.63757,12/10/2021 6:47,0,0,13,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.74,0,Walsrode,12.11,190
WAUKG78E46A840649,52.9553616,9.6375366,12/10/2021 7:03,0,0,6,,96215,96215.74,0,,12.12,38
WAUKG78E46A840649,52.955655,9.637555,12/10/2021 7:11,0,0,16,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.77,0,Walsrode,14.72,40
WAUKG78E46A840649,52.955715,9.6375816,12/10/2021 7:47,0,0,5,"K 129, 29699 Walsrode, Meyerhof, DE",96215,96215.78,0,Walsrode,14.73,212
WAUKG78E46A840649,52.94233,9.6322916,12/10/2021 7:49,0,1,56,"K 129, 29699 Walsrode, Hanshof, DE",96215,96217.45,0,Walsrode,14.81,207
WAUKG78E46A840649,52.9152216,9.6211416,12/10/2021 7:51,0,1,91,,96215,96220.71,0,,14.83,204
WAUKG78E46A840649,52.9052766,9.616945,12/10/2021 7:53,0,1,14,"K 129, 29699 Walsrode, DE",96215,96221.85,0,Walsrode,14.81,221
WAUKG78E46A840649,52.8842933,9.5999966,12/10/2021 7:55,0,1,68,"Am Vogelpark, 29664 Walsrode, DE",96215,96224.48,0,Walsrode,14.62,217
WAUKG78E46A840649,52.87017,9.5851583,12/10/2021 7:57,0,1,10,"Cordinger Straße 14-20, 29664 Walsrode, DE",96215,96226.43,0,Walsrode,14.82,225
WAUKG78E46A840649,52.8632866,9.5874416,12/10/2021 7:59,0,0,0,"Bergstraße 2A, 29664 Walsrode, DE",96215,96227.24,0,Walsrode,14.75,348
WAUKG78E46A840649,52.85991,9.5828016,12/10/2021 8:00,0,0,0,"Meirehmer Straße 1, 29664 Walsrode, DE",96215,96227.76,0,Walsrode,14.67,189
WAUKG78E46A840649,52.8597466,9.5826,12/10/2021 8:02,0,0,8,,96215,96227.77,0,,14.88,167
WAUKG78E46A840649,52.8597216,9.5826033,12/10/2021 8:03,0,1,7,"Verdener Straße 4, 29664 Walsrode, DE",96215,96227.77,0,Walsrode,14.78,183
WAUKG78E46A840649,52.8486,9.5475866,12/10/2021 8:05,0,1,42,"B 209, 29664 Hollige, DE",96215,96230.43,0,Hollige,14.84,245
WAUKG78E46A840649,52.8405383,9.5204883,12/10/2021 8:07,0,1,71,"B 209, 29664 Schneeheide, DE",96215,96232.46,0,Schneeheide,14.83,243
WAUKG78E46A840649,52.832655,9.4931583,12/10/2021 8:09,0,1,47,"B 209, 29664 Kirchboitzen, Sindorf, DE",96215,96234.5,0,Kirchboitzen,14.77,244
WAUKG78E46A840649,52.83156,9.4866266,12/10/2021 8:12,0,1,27,,96215,96234.98,0,,14.84,243
WAUKG78E46A840649,52.8262366,9.4747366,12/10/2021 8:13,0,1,100,"B 209, 29664 Groß Eilstorf, DE",96215,96235.98,0,Groß Eilstorf,14.78,231
WAUKG78E46A840649,52.81437,9.4429983,12/10/2021 8:15,0,1,98,"B 209, 29664 Groß Eilstorf, DE",96215,96238.57,0,Groß Eilstorf,14.82,212
WAUKG78E46A840649,52.7989383,9.4168416,12/10/2021 8:17,0,1,61,,96215,96241.12,0,,14.84,216
WAUKG78E46A840649,52.7854383,9.3815833,12/10/2021 8:19,0,1,13,"Lange Straße 21, 27336 Rethem, DE",96215,96244.02,0,Rethem,14.84,268
WAUKG78E46A840649,52.784535,9.3678216,12/10/2021 8:21,0,1,57,"L 200, 27336 Rethem, DE",96215,96244.97,0,Rethem,14.85,268
WAUKG78E46A840649,52.7839266,9.3231866,12/10/2021 8:23,0,1,87,,96215,96248.01,0,,14.87,261
WAUKG78E46A840649,52.7799816,9.2866433,12/10/2021 8:25,0,1,13,"Saatkamp 1, 27324 Hämelhausen, DE",96215,96250.53,0,Hämelhausen,14.77,316
WAUKG78E46A840649,52.780775,9.2872483,12/10/2021 8:30,0,0,12,,96215,96250.66,0,,14.87,25
WAUKG78E46A840649,52.7817716,9.2870433,12/10/2021 8:31,0,1,14,,96215,96250.77,0,,14.84,305
WAUKG78E46A840649,52.7820133,9.2845916,12/10/2021 8:33,0,0,12,"Hirtenweg 7, 27324 Hämelhausen, DE",96215,96250.94,0,Hämelhausen,14.83,301
WAUKG78E46A840649,52.781865,9.2862633,12/10/2021 8:36,0,0,22,,96215,96251.09,0,,14.85,93
WAUKG78E46A840649,52.7798066,9.2851616,12/10/2021 8:37,0,1,53,"Dorfstraße 153, 27324 Hämelhausen, DE",96215,96251.48,0,Hämelhausen,14.88,274
WAUKG78E46A840649,52.779515,9.281465,12/10/2021 8:39,0,1,7,"Am Walde 7, 27324 Hämelhausen, DE",96215,96251.95,0,Hämelhausen,14.73,22
WAUKG78E46A840649,52.78027,9.2816833,12/10/2021 8:41,0,1,15,,96215,96252.09,0,,14.81,296
WAUKG78E46A840649,52.7803766,9.2777233,12/10/2021 8:43,0,0,7,"Hämelseestraße 4, 27324 Hämelhausen, DE",96215,96252.56,0,Hämelhausen,14.86,58
